Ablative Barrier	Ablative Barrier	conjuration (creation) [force]	alchemist 2, magus 2, sorcerer/wizard 3, summoner 2	1 standard action	V, S, M (a piece of metal cut from a shield)	touch	creature touched	1 hour/level or until discharged	Will negates (harmless)	no	<h>Normal Use</h><p>Invisible layers of solid force surround and protect the target, granting that target a +2 armor bonus to AC. Additionally, the first 5 points of lethal damage the target takes from each attack are converted into nonlethal damage. Against attacks that already deal nonlethal damage, the target gains DR 5/--;. Once this spell has converted 5 points of damage to nonlethal damage per caster level (maximum 50 points), the spell is discharged.</p>
Animal Aspect	Animal Aspect	transmutation (polymorph)	alchemist 2, magus 2, druid 2, ranger 2, sorcerer/wizard 2	1 standard action	V, S, M/DF (a part of the animal)	personal	you	1 minute/level (D)	none	yes (harmless)	<h>Normal Use</h><p>You gain some of the beneficial qualities of an animal. Your base form is largely unchanged and your size is unaltered, but some of your body parts are altered. Armor or gear you are wearing adjusts to your new shape for the duration of the spell. When you cast <i>animal aspect</i>, choose one of the following animals to gain the associated benefits. You can only have one <i>animal aspect</i> or <i>greater animal aspect</i> spell active on you at a time.</p><p><i>Frog</i>: Your legs become elongated and muscular. You gain a +4 competence bonus on Acrobatics checks, and you always jump as if you had a running start.</p><p><i>Gorilla</i>: Your arms become long, flexible, and strong like those of a great ape. Your unarmed damage die type increases by one step, and you gain a +4 competence bonus on combat maneuver checks when making the grapple or reposition combat maneuver.</p><p><i>Monkey</i>: Your hands and arms become dexterous like those of a simian. You gain a +4 competence bonus on Climb checks, and you can throw objects as if you had the Throw Anything feat.</p><p><i>Otter</i>: Your hands and feet gain webbing, and your lungs gain capacity, allowing you to move through the water with ease. You gain a Swim speed equal to half your speed, and all the benefits of having a swim speed. Additionally, you can hold your breath for 4 rounds per point of Constitution before being forced to make Constitution checks to keep holding your breath.</p><p><i>Raccoon</i>: Your hands become extremely dexterous, and your feet become padded. You gain a +2 competence bonus on Disable Device, Sleight of Hand, and Stealth checks.</p><p><i>Raptor</i>: Your legs become built for running speed, like those of a deinonychus. You gain a enhancement bonus of +20 feet to your base speed.</p><p><i>Tree Lizard</i>: Your hands and feet gain climbing claws and climbing pads. You gain a climb speed equal to half your normal speed and all the benefits of having a natural climb speed. </p>
Animate Dead	Animate Dead	necromancy [evil]	cleric 3, sorcerer/wizard 4	1 standard action	V, S, M (an onyx gem worth at least 25 gp per Hit Die of the undead)	touch	one or more corpses touched	instantaneous	none	no	<h>Normal Use</h><p>This spell turns corpses into undead skeletons or zombies that obey your spoken commands.</p><p>The undead can be made to follow you, or they can be made to remain in an area and attack any creature (or just a specific kind of creature) entering the place. They remain animated until they are destroyed. A destroyed skeleton or zombie can't be animated again.</p><p>Regardless of the type of undead you create with this spell, you can't create more HD of undead than twice your caster level with a single casting of <i>animate dead</i>. The <i>desecrate </i>spell doubles this limit.</p><p>The undead you create remain under your control indefinitely. No matter how many times you use this spell, however, you can control only 4 HD worth of undead creatures per caster level. If you exceed this number, all the newly created creatures fall under your control, and any excess undead from previous castings become uncontrolled. You choose which creatures are released. Undead you control through the Command Undead feat do not count toward this limit.</p><p><i>Skeletons</i>: A skeleton can be created only from a mostly intact corpse or skeleton. The corpse must have bones. If a skeleton is made from a corpse, the flesh falls off the bones. </p><p><i>Zombies</i>: A zombie can be created only from a mostly intact corpse. The corpse must be that of a creature with a physical anatomy.</p>
Animate Objects	Animate Objects	transmutation	bard 6, cleric 6	1 standard action	V, S	medium (100 ft. + 10 ft./level)	one Small object per caster level; see text	1 round/level	none	no	<h>Normal Use</h><p>You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate.</p><p>An animated object can be of any nonmagical material. You may animate one Small or smaller object or a corresponding number of larger objects as follows: A Medium object counts as two Small or smaller objects, a Large object as four, a Huge object as eight, a Gargantuan object as 16, and a Colossal object as 32. You can change the designated target or targets as a move action, as if directing an active spell.</p><p>This spell cannot affect objects carried or worn by a creature.</p><p><i>Animate objects </i>can be made permanent with a <i>permanency </i>spell.</p>
Animate Plants	Animate Plants	transmutation	druid 7	1 standard action	V	close (25 ft. + 5 ft./2 levels)	one Large plant per three caster levels or all plants within range; see text	1 round/level or 1 hour/level; see text	none	no	<h>Normal Use</h><p>You imbue inanimate plants with mobility and a semblance of life. Each animated plant then immediately attacks whomever or whatever you initially designate as though it were an animated object of the appropriate size category. You may animate one Large or smaller plant, or a number of larger plants as follows: a Huge plant counts as two Large or smaller plants, a Gargantuan plant as four, and a Colossal plant as eight. You can change the designated target or targets as a move action, as if directing an active spell.</p><p>Use the statistics for animated objects, except that plants smaller than Large don't have hardness.</p><p><i>Animate plants </i>cannot affect plant creatures, nor does it affect nonliving vegetable material.</p><p><i>Entangle</i>: Alternatively, you may imbue all plants within range with a degree of mobility, which allows them to entwine around creatures in the area. This usage of the spell duplicates the effect of an <i>entangle </i>spell. Spell resistance does not keep creatures from being entangled. This effect lasts 1 hour per caster level.</p>
Anticipate Peril	Anticipate Peril	divination	alchemist 1, bard 1, ranger 1, sorcerer/wizard 1	1 standard action	V, S	touch	creature touched	1 minute/level or until activated	Will negates	yes	<h>Normal Use</h><p>A creature affected by <i>anticipate peril</i> gains a preternatural sense of danger. The first time during this spell's duration that the target has to make an initiative check, the creature adds an insight bonus on that initiative check equal to the spell's caster level (maximum +5). Once this bonus applies, the effects of the spell end.</p>
Antimagic Field	Antimagic Field	abjuration	cleric 8, sorcerer/wizard 6	1 standard action	V, S, M/DF (pinch of powdered iron or iron filings)	10 ft.	10-ft.-radius emanation, centered on you	10 min./level (D)	none	see text	<h>Normal Use</h><p>An invisible barrier surrounds you and moves with you. The space within this barrier is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities. Likewise, it prevents the functioning of any magic items or spells within its confines.</p><p>An <i>antimagic field </i>suppresses any spell or magical effect used within, brought into, or cast into the area, but does not dispel it. Time spent within an <i>antimagic field </i>counts against the suppressed spell's duration.</p><p>Summoned creatures of any type wink out if they enter an <i>antimagic field. </i>They reappear in the same spot once the field goes away. Time spent winked out counts normally against the duration of the conjuration that is maintaining the creature. If you cast <i>antimagic field </i>in an area occupied by a summoned creature that has spell resistance, you must make a caster level check (1d20 + caster level) against the creature's spell resistance to make it wink out. (The effects of instantaneous conjurations are not affected by an <i>antimagic field </i>because the conjuration itself is no longer in effect, only its result.)</p><p>A normal creature can enter the area, as can normal missiles. Furthermore, while a magic sword does not function magically within the area, it is still a sword (and a masterwork sword at that). The spell has no effect on golems and other constructs that are imbued with magic during their creation process and are thereafter self-supporting (unless they have been summoned, in which case they are treated like any other summoned creatures). Elementals, undead, and outsiders are likewise unaffected unless summoned. These creatures' spell-like or supernatural abilities may be temporarily nullified by the field. <i>Dispel magic </i>does not remove the field.</p><p>Two or more <i>antimagic fields </i>sharing any of the same space have no effect on each other. Certain spells, such as <i>wall of force, prismatic sphere</i>, and <i>prismatic wall, </i>remain unaffected by <i>antimagic field</i>. Artifacts and deities are unaffected by mortal magic such as this. </p><p>Should a creature be larger than the area enclosed by the barrier, any part of it that lies outside the barrier is unaffected by the field.</p>
Arboreal Hammer	Arboreal Hammer	transmutation	druid 4	1 standard action	V, S, DF	medium (100 ft. + 10 ft./level)	one Huge or larger tree	1 round/level (D)	none	no	<h>Normal Use</h><p>This spell animates a tree's branch and directs it against your foes. At caster level 10th or lower, you can target a Huge tree. At caster level 11th-15th, you can target a Gargantuan tree, and at caster level 16th or higher you can target a Colossal tree. The animated branch makes slam attacks with a Strength score equal to 10 + your caster level. The branch strikes once per round with an attack bonus equal to your caster level + the branch's Strength modifier, adjusted by the appropriate size modifier (-2 for Huge, -4 for Gargantuan, -8 for Colossal). A Huge tree's slam deals 2d6 points of damage, a Gargantuan tree's slam deals 3d6 points of damage, and a Colossal tree's slam deals 4d6 points of damage; the tree adds 1-1/2 times its Strength modifier to this damage. A Huge tree has reach 15 feet, a Gargantuan has reach 20 feet, and a Colossal has reach 30 feet. The tree attacks the creature you designate when you cast the spell, and is unable to move. You can direct the tree against a new target as a move action. The tree does not gain a bonus for flanking, nor can it help another combatant flank. It cannot attack a foe you cannot see.</p>
Arcane Cannon	Arcane Cannon	transmutation	sorcerer/wizard 7	1 round	V, S, F (an ornate miniature cannon forged with a drop of your blood that costs 5,000 gp)	close (25 ft. + 5 ft./2 levels)	one magically animated cannon	1 round/level	none	no	<h>Normal Use</h><p>Your focus becomes a Medium <i>arcane cannon </i>that appears in an unoccupied square within the spell's range. If no unoccupied square is within range, the spell fails. The cannon comes into existence loaded. Each round thereafter, the cannon can either fire or load. A cannon must be loaded to fire. You do not need to supply ammunition for the cannon. </p><p>On your turn, you can spend a move action to direct the cannon to wheel itself to a new location, moving the cannon up to 20 feet. If the <i>arcane cannon</i> ever leaves your line of sight, it winks out of existence, and the spell's duration ends. </p><p>The cannon has a range increment of 50 feet. It targets touch attack in the first range increment, and it has no misfire chance. The cannon acts as a weapon with the <i>conductive</i> special weapon ability, which you can use to channel your spell-like or supernatural abilities as long as you are within the range of <i>arcane cannon</i>. The cannon's attack bonus is equal to your caster level + your Intelligence bonus or your Charisma bonus (for wizards or sorcerers, respectively) with an additional +1 per four caster levels (maximum +5 at 20th level). On a hit, the cannon deals 4d10 damage. The <i>arcane cannon</i> attacks have a critical modifier of x4.</p><p>The cannon has AC 10, hardness 10, and 80 hit points. If the cannon is subject to a spell or effect that requires a save, it uses your saving throw modifiers. The cannon never provokes attacks of opportunity. If the cannon is destroyed, so is your focus.</p>
Ascension	Ascension	universal	cleric 9, druid 9, sorcerer/wizard 9, witch 9	1 hour	V, S, F (minor artifact), M (10,000 gp in rare herbs, gems, and other exotic materials)	close (25 ft. + 5 ft./2 levels)	one non-mythic creature/3 levels	2 hours/level; see text	Will negates (harmless)	yes (harmless)	<h>Normal Use</h><p>You imbue a number of creatures with mythic power, granting each of them 1st tier in a mythic path of its choice. The creatures immediately gain the benefits of their chosen paths. Divide the duration evenly among all targets.</p><p>The targets retain their mythic tier only while they're within 100 feet of the spell's focus component. A target that goes outside this range loses its mythic tier, but instantly regains it if it moves into range again. If the focus component is destroyed while the spell is in effect, the spell immediately ends and all targets gain 1d4 permanent negative levels.</p><p><h>Mythic</h>: If you expend one use of mythic power when casting this spell, the duration increases to 1 day per level, and you can use yourself as the focus for this spell instead of a lesser artifact. If you're the focus, the targets retain their mythic tier only while they're within 100 feet of you, and if you die, the spell immediately ends and all targets gain 1d4 permanent negative levels.</p>
