Beast Shape I	Beast Shape I	transmutation (polymorph)	sorcerer/wizard 3	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you	1 min./level (D)	none	none	<h>Normal Use</h><p>When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent.</p><p><i>Small animal</i>: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus.</p><p><i>Medium animal</i>: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.</p>	<h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>	<h>Normal Use</h><p>When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent.</p><p><i>Small animal</i>: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus.</p><p><i>Medium animal</i>: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.</p><h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Beast Shape II	Beast Shape II	transmutation (polymorph)	sorcerer/wizard 4	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you	1 min./level (D)	none	none	<h>Normal Use</h><p>This spell functions as <i>beast shape I,</i> except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, grab, pounce, and trip.</p><p><i>Tiny animal</i>: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a -2 penalty to your Strength, and a +1 natural armor bonus.</p><p><i>Large animal</i>: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a -2 penalty to your Dexterity, and a +4 natural armor bonus.</p>	<h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>	<h>Normal Use</h><p>This spell functions as <i>beast shape I,</i> except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, grab, pounce, and trip.</p><p><i>Tiny animal</i>: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a -2 penalty to your Strength, and a +1 natural armor bonus.</p><p><i>Large animal</i>: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a -2 penalty to your Dexterity, and a +4 natural armor bonus.</p><h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Beast Shape III	Beast Shape III	transmutation (polymorph)	sorcerer/wizard 5	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you	1 min./level (D)	none	none	<h>Normal Use</h><p>This spell functions as <i>beast shape II, </i>except that it also allows you to assume the form of a Diminutive or Huge creature of the animal type. This spell also allows you to take on the form of a Small or Medium creature of the magical beast type. If the form you assume has any of the following abilities, you gain the listed ability: burrow 30 feet, climb 90 feet, fly 90 feet (good maneuverability), swim 90 feet, blindsense 30 feet, darkvision 60 feet, low-light vision, scent, constrict, ferocity, grab, jet, poison, pounce, rake, trample, trip, and web.</p><p><i>Diminutive animal</i>: If the form you take is that of a Diminutive animal, you gain a +6 size bonus to your Dexterity, a -4 penalty to your Strength, and a +1 natural armor bonus.</p><p><i>Huge animal</i>: If the form you take is that of a Huge animal, you gain a +6 size bonus to your Strength, a -4 penalty to your Dexterity, and a +6 natural armor bonus.</p><p><i>Small magical beast</i>: If the form you take is that of a Small magical beast, you gain a +4 size bonus to your Dexterity, and a +2 natural armor bonus.</p><p><i>Medium magical beast</i>: If the form you take is that of a Medium magical beast, you gain a +4 size bonus to your Strength, and a +4 natural armor bonus.</p>	<h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>	<h>Normal Use</h><p>This spell functions as <i>beast shape II, </i>except that it also allows you to assume the form of a Diminutive or Huge creature of the animal type. This spell also allows you to take on the form of a Small or Medium creature of the magical beast type. If the form you assume has any of the following abilities, you gain the listed ability: burrow 30 feet, climb 90 feet, fly 90 feet (good maneuverability), swim 90 feet, blindsense 30 feet, darkvision 60 feet, low-light vision, scent, constrict, ferocity, grab, jet, poison, pounce, rake, trample, trip, and web.</p><p><i>Diminutive animal</i>: If the form you take is that of a Diminutive animal, you gain a +6 size bonus to your Dexterity, a -4 penalty to your Strength, and a +1 natural armor bonus.</p><p><i>Huge animal</i>: If the form you take is that of a Huge animal, you gain a +6 size bonus to your Strength, a -4 penalty to your Dexterity, and a +6 natural armor bonus.</p><p><i>Small magical beast</i>: If the form you take is that of a Small magical beast, you gain a +4 size bonus to your Dexterity, and a +2 natural armor bonus.</p><p><i>Medium magical beast</i>: If the form you take is that of a Medium magical beast, you gain a +4 size bonus to your Strength, and a +4 natural armor bonus.</p><h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Beast Shape IV	Beast Shape IV	transmutation (polymorph)	sorcerer/wizard 6	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you	1 min./level (D)	none	none	<h>Normal Use</h><p>This spell functions as <i>beast shape III </i>except that it also allows you to assume the form of a Tiny or Large creature of the magical beast type. If the form you assume has any of the following abilities, you gain the listed ability: burrow 60 feet, climb 90 feet, fly 120 feet (good maneuverability), swim 120 feet, blindsense 60 feet, darkvision 90 feet, low-light vision, scent, tremorsense 60 feet, breath weapon, constrict, ferocity, grab, jet, poison, pounce, rake, rend, roar, spikes, trample, trip, and web. If the creature has immunity or resistance to any elements, you gain resistance 20 to those elements. If the creature has vulnerability to an element, you gain that vulnerability.</p><p><i>Tiny magical beast</i>: If the form you take is that of a Tiny magical beast, you gain a -2 penalty to your Strength, a +8 size bonus to your Dexterity, and a +3 natural armor bonus.</p><p><i>Large magical beast</i>: If the form you take is that of a Large magical beast, you gain a +6 size bonus to your Strength, a -2 penalty on your Dexterity, a +2 size bonus to your Constitution, and a +6 natural armor bonus.</p>	<h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>	<h>Normal Use</h><p>This spell functions as <i>beast shape III </i>except that it also allows you to assume the form of a Tiny or Large creature of the magical beast type. If the form you assume has any of the following abilities, you gain the listed ability: burrow 60 feet, climb 90 feet, fly 120 feet (good maneuverability), swim 120 feet, blindsense 60 feet, darkvision 90 feet, low-light vision, scent, tremorsense 60 feet, breath weapon, constrict, ferocity, grab, jet, poison, pounce, rake, rend, roar, spikes, trample, trip, and web. If the creature has immunity or resistance to any elements, you gain resistance 20 to those elements. If the creature has vulnerability to an element, you gain that vulnerability.</p><p><i>Tiny magical beast</i>: If the form you take is that of a Tiny magical beast, you gain a -2 penalty to your Strength, a +8 size bonus to your Dexterity, and a +3 natural armor bonus.</p><p><i>Large magical beast</i>: If the form you take is that of a Large magical beast, you gain a +6 size bonus to your Strength, a -2 penalty on your Dexterity, a +2 size bonus to your Constitution, and a +6 natural armor bonus.</p><h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Battlemind Link	Battlemind Link	divination [mind-affecting]	inquisitor 4, sorcerer/wizard 6	1 standard action	V, S	personal and close (25 ft. + 5 ft./2 levels)	you and 1 ally	1 minute/level	Will negates (harmless)	yes (harmless)	<h>Normal Use</h><p>You fuse your thoughts with an ally's, allowing the two of you to fight in tandem, perfectly coordinated. You and the ally each roll initiative in combat and use the higher die result before adding modifiers. This has three effects.</p><p><i>Melee</i>: If you both make melee attacks against the same creature, you both make attack rolls and both use the higher of the two dice for your attack rolls (plus bonuses).</p><p><i>Ranged</i>: If you both make ranged attacks against the same creature, you both make attack rolls and both use the higher of the two dice for your attack roll (plus bonuses).</p><p><i>Spell</i>: If you both cast spells and target the same area or same creature, affected creatures take a -2 penalty on their saving throw against the spells.</p><p>You and the target lose these benefits if you cannot see each other or if you or the target is unconscious or helpless.</p>	<h>Mythic Enhanced</h><p>When you cast this spell, if your linked ally uses a mythic path ability against a creature, you can use the same path ability against that creature as if you had it yourself, and your linked ally can likewise use any path abilities you use against a creature (even if that ally isn't mythic). For example, if you're a champion attacking a frost giant using the precision path ability, your linked ally can use your precision ability when she attacks that frost giant. If a path ability requires expending uses of mythic power or any other cost, your linked ally must expend that cost for you to use the ability.</p>	<h>Normal Use</h><p>You fuse your thoughts with an ally's, allowing the two of you to fight in tandem, perfectly coordinated. You and the ally each roll initiative in combat and use the higher die result before adding modifiers. This has three effects.</p><p><i>Melee</i>: If you both make melee attacks against the same creature, you both make attack rolls and both use the higher of the two dice for your attack rolls (plus bonuses).</p><p><i>Ranged</i>: If you both make ranged attacks against the same creature, you both make attack rolls and both use the higher of the two dice for your attack roll (plus bonuses).</p><p><i>Spell</i>: If you both cast spells and target the same area or same creature, affected creatures take a -2 penalty on their saving throw against the spells.</p><p>You and the target lose these benefits if you cannot see each other or if you or the target is unconscious or helpless.</p><h>Mythic Enhanced</h><p>When you cast this spell, if your linked ally uses a mythic path ability against a creature, you can use the same path ability against that creature as if you had it yourself, and your linked ally can likewise use any path abilities you use against a creature (even if that ally isn't mythic). For example, if you're a champion attacking a frost giant using the precision path ability, your linked ally can use your precision ability when she attacks that frost giant. If a path ability requires expending uses of mythic power or any other cost, your linked ally must expend that cost for you to use the ability.</p>
Battle Trance	Battle Trance	enchantment (compulsion) [emotion, mind-affecting]	alchemist 3, antipaladin 3, cleric 4, inquisitor 3, ranger 3, witch 4	1 standard action	V, S	personal	you	1 minute/level	Will negates	yes	<h>Normal Use</h><p>You are transformed into a single-minded force of destruction. You gain the ferocity monster special ability, a number of temporary hit points equal to 1d6 + your caster level (maximum +10), and a +4 morale bonus on saving throws against mind-affecting effects. You cannot use the withdraw action or willingly move away from a creature that has attacked you.</p><p>When you use this spell, you immediately take 4 points of Intelligence damage. You must make a DC 20 concentration check to cast spells, and all other concentration checks to cast spells have a -5 penalty.</p>	<h>Mythic Enhanced</h><p>The number of temporary hit points you gain increases to 2d6 + your caster level (maximum +10) + your tier. The morale bonus on saving throws against mind-affecting effects increases to +6.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, you gain a +4 morale bonus to Strength, immunity to non-mythic mind-affecting effects, and DR 5/epic.</p>	<h>Normal Use</h><p>You are transformed into a single-minded force of destruction. You gain the ferocity monster special ability, a number of temporary hit points equal to 1d6 + your caster level (maximum +10), and a +4 morale bonus on saving throws against mind-affecting effects. You cannot use the withdraw action or willingly move away from a creature that has attacked you.</p><p>When you use this spell, you immediately take 4 points of Intelligence damage. You must make a DC 20 concentration check to cast spells, and all other concentration checks to cast spells have a -5 penalty.</p><h>Mythic Enhanced</h><p>The number of temporary hit points you gain increases to 2d6 + your caster level (maximum +10) + your tier. The morale bonus on saving throws against mind-affecting effects increases to +6.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, you gain a +4 morale bonus to Strength, immunity to non-mythic mind-affecting effects, and DR 5/epic.</p>
Blinding Ray	Blinding Ray	evocation [good, light]	cleric 2, inquisitor 3, paladin 2	1 standard action 	V, S, DF	close (25 ft. + 5 ft./2 levels)	one or more rays of light	instantaneous (see text)	Fortitude negates	yes 	<h>Normal Use</h><p>You blast your enemies with blinding rays of sunlight. You may fire one ray, plus one additional ray for every four levels beyond 3rd (to a maximum of three rays at 11th level). Each ray requires a ranged touch attack to hit. If a ray hits, it explodes into powerful motes of light, and the target must save or be blinded for 1 round. If the target has light blindness, light sensitivity, or is otherwise vulnerable to bright light, it instead must save or be blinded for 1d4 rounds and take 1d4 points of damage per two caster levels (maximum 5d4). Any creature blinded by a ray sheds light as a sunrod for the duration of its blindness. The rays may be fired at the same or different targets, but all rays must be aimed at targets within 30 feet of each other and fired simultaneously.</p>	<h>Mythic Enhanced</h><p>On a successful saving throw, the target is dazzled for 1 round. On a failed saving throw, the target is instead blinded for 1d4 rounds.</p><p>A target with light blindness, light sensitivity, or any other vulnerability to light is instead blinded for 1d4 rounds on a successful saving throw and permanently blinded on a failed saving throw.</p>	<h>Normal Use</h><p>You blast your enemies with blinding rays of sunlight. You may fire one ray, plus one additional ray for every four levels beyond 3rd (to a maximum of three rays at 11th level). Each ray requires a ranged touch attack to hit. If a ray hits, it explodes into powerful motes of light, and the target must save or be blinded for 1 round. If the target has light blindness, light sensitivity, or is otherwise vulnerable to bright light, it instead must save or be blinded for 1d4 rounds and take 1d4 points of damage per two caster levels (maximum 5d4). Any creature blinded by a ray sheds light as a sunrod for the duration of its blindness. The rays may be fired at the same or different targets, but all rays must be aimed at targets within 30 feet of each other and fired simultaneously.</p><h>Mythic Enhanced</h><p>On a successful saving throw, the target is dazzled for 1 round. On a failed saving throw, the target is instead blinded for 1d4 rounds.</p><p>A target with light blindness, light sensitivity, or any other vulnerability to light is instead blinded for 1d4 rounds on a successful saving throw and permanently blinded on a failed saving throw.</p>
Black Mark	Black Mark	necromancy [curse, fear]	druid 7, witch 7	1 standard action	V, S, M (a flask of seawater)	touch	one creature	permanent	Will negates	yes	<h>Normal Use</h><p>You mark the target with a black marking on its skin; the mark's exact appearance determined by you, but can be no larger than your hand. The <i>black mark </i>functions as a <i>mark of justice</i>, and when the mark is activated, the target becomes shaken anytime it is on or in the water more than a 5 feet from shore. In addition, as long as the <i>black mark </i>is active, the target is affected as if subject to <i>nature's exile </i>, but all creatures with the aquatic or water subtype or with a swim speed are made hostile, even those not of the animal type, though non-aquatic animals are not. </p>	<h>Mythic Enhanced</h><p>Any time the cursed creature travels on or in the water more than 1 mile from shore, each day it (or the vessel it's on) is attacked by one or more aquatic or water monsters, as if summoned by <i>summon nature's ally VII</i> (caster level 13th).</p>	<h>Normal Use</h><p>You mark the target with a black marking on its skin; the mark's exact appearance determined by you, but can be no larger than your hand. The <i>black mark </i>functions as a <i>mark of justice</i>, and when the mark is activated, the target becomes shaken anytime it is on or in the water more than a 5 feet from shore. In addition, as long as the <i>black mark </i>is active, the target is affected as if subject to <i>nature's exile </i>, but all creatures with the aquatic or water subtype or with a swim speed are made hostile, even those not of the animal type, though non-aquatic animals are not. </p><h>Mythic Enhanced</h><p>Any time the cursed creature travels on or in the water more than 1 mile from shore, each day it (or the vessel it's on) is attacked by one or more aquatic or water monsters, as if summoned by <i>summon nature's ally VII</i> (caster level 13th).</p>
Blink	Blink	transmutation	bard 3, sorcerer/wizard 3	1 standard action	V, S	personal	you	1 round/level (D)	none	none	"<h>Normal Use</h><p>You ""blink"" quickly back and forth between the Material Plane and the Ethereal Plane and look as though you're winking in and out of reality at random. <i>Blink </i>has several effects, as follows.</p><p>Physical attacks against you have a 50% miss chance, and the Blind-Fight feat doesn't help opponents, since you're ethereal and not merely invisible. If the attack is capable of striking ethereal creatures, the miss chance is only 20% (for concealment).</p><p>If the attacker can see invisible creatures, the miss chance is also only 20%. (For an attacker who can both see and strike ethereal creatures, there is no miss chance.) Likewise, your own attacks have a 20% miss chance, since you sometimes go ethereal just as you are about to strike.</p><p>Any individually targeted spell has a 50% chance to fail against you while you're blinking unless your attacker can target invisible, ethereal creatures. Your own spells have a 20% chance to activate just as you go ethereal, in which case they typically do not affect the Material Plane (but they might affect targets on the Ethereal Plane).</p><p>While blinking, you take only half damage from area attacks (but full damage from those that extend onto the Ethereal Plane). Although you are only partially visible, you are not considered invisible and targets retain their Dexterity bonus to AC against your attacks. You do receive a +2 bonus on attack rolls made against enemies that cannot see invisible creatures.</p><p>You take only half damage from falling, since you fall only while you are material.</p><p>While blinking, you can step through (but not see through) solid objects. For each 5 feet of solid material you walk through, there is a 50% chance that you become material. If this occurs, you are shunted off to the nearest open space and take 1d6 points of damage per 5 feet so traveled.</p><p>Since you spend about half your time on the Ethereal Plane, you can see and even attack ethereal creatures. You interact with ethereal creatures roughly the same way you interact with material ones.</p><p>An ethereal creature is invisible, incorporeal, and capable of moving in any direction, even up or down. As an incorporeal creature, you can move through solid objects, including living creatures.</p><p>An ethereal creature can see and hear the Material Plane, but everything looks gray and insubstantial. Sight and hearing on the Material Plane are limited to 60 feet.</p><p>Force effects and abjurations affect you normally. Their effects extend onto the Ethereal Plane from the Material Plane, but not vice versa. An ethereal creature can't attack material creatures, and spells you cast while ethereal affect only other ethereal things. Certain material creatures or objects have attacks or effects that work on the Ethereal Plane. Treat other ethereal creatures and objects as material.</p>"	<h>Mythic Enhanced</h><p>You may spend a move action to remain corporeal or incorporeal until the end of your turn (you automatically resume blinking at the end of your turn).</p><p><h>Mythic Augmented (3rd)</h>: If you expend two uses of mythic power, you can spend either a swift action or a move action to remain corporeal or incorporeal until the end of your turn.</p>	"<h>Normal Use</h><p>You ""blink"" quickly back and forth between the Material Plane and the Ethereal Plane and look as though you're winking in and out of reality at random. <i>Blink </i>has several effects, as follows.</p><p>Physical attacks against you have a 50% miss chance, and the Blind-Fight feat doesn't help opponents, since you're ethereal and not merely invisible. If the attack is capable of striking ethereal creatures, the miss chance is only 20% (for concealment).</p><p>If the attacker can see invisible creatures, the miss chance is also only 20%. (For an attacker who can both see and strike ethereal creatures, there is no miss chance.) Likewise, your own attacks have a 20% miss chance, since you sometimes go ethereal just as you are about to strike.</p><p>Any individually targeted spell has a 50% chance to fail against you while you're blinking unless your attacker can target invisible, ethereal creatures. Your own spells have a 20% chance to activate just as you go ethereal, in which case they typically do not affect the Material Plane (but they might affect targets on the Ethereal Plane).</p><p>While blinking, you take only half damage from area attacks (but full damage from those that extend onto the Ethereal Plane). Although you are only partially visible, you are not considered invisible and targets retain their Dexterity bonus to AC against your attacks. You do receive a +2 bonus on attack rolls made against enemies that cannot see invisible creatures.</p><p>You take only half damage from falling, since you fall only while you are material.</p><p>While blinking, you can step through (but not see through) solid objects. For each 5 feet of solid material you walk through, there is a 50% chance that you become material. If this occurs, you are shunted off to the nearest open space and take 1d6 points of damage per 5 feet so traveled.</p><p>Since you spend about half your time on the Ethereal Plane, you can see and even attack ethereal creatures. You interact with ethereal creatures roughly the same way you interact with material ones.</p><p>An ethereal creature is invisible, incorporeal, and capable of moving in any direction, even up or down. As an incorporeal creature, you can move through solid objects, including living creatures.</p><p>An ethereal creature can see and hear the Material Plane, but everything looks gray and insubstantial. Sight and hearing on the Material Plane are limited to 60 feet.</p><p>Force effects and abjurations affect you normally. Their effects extend onto the Ethereal Plane from the Material Plane, but not vice versa. An ethereal creature can't attack material creatures, and spells you cast while ethereal affect only other ethereal things. Certain material creatures or objects have attacks or effects that work on the Ethereal Plane. Treat other ethereal creatures and objects as material.</p><h>Mythic Enhanced</h><p>You may spend a move action to remain corporeal or incorporeal until the end of your turn (you automatically resume blinking at the end of your turn).</p><p><h>Mythic Augmented (3rd)</h>: If you expend two uses of mythic power, you can spend either a swift action or a move action to remain corporeal or incorporeal until the end of your turn.</p>"
Blistering Invective	Blistering Invective	evocation [fire, language-dependent]	alchemist 2, bard 2, inquisitor 2	1 standard action	V, S	personal	30-ft. radius	instantaneous	Reflex partial, see text	special, see below	<h>Normal Use</h><p>You unleash an insulting tirade so vicious and spiteful that enemies who hear it are physically scorched by your fury. When you cast this spell, make an Intimidate check to demoralize each enemy within 30 feet of you. Enemies that are demoralized this way take 1d10 points of fire damage and must succeed at a Reflex save or catch fire. Spell resistance can negate the fire damage caused by this spell, but does not protect the creature from the demoralizing effect.</p>	<h>Mythic Enhanced</h><p>Enemies that are demoralized by your Intimidate check take 2d8 points of fire damage and catch fire (no saving throw). Any Reflex save attempted to extinguish the flames automatically fails as long as the creature remains demoralized by your Intimidate check.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, the spell doesn't have the language-dependent descriptor and you don't take a penalty on your Intimidate check to demoralize creatures that are larger than you.</p>	<h>Normal Use</h><p>You unleash an insulting tirade so vicious and spiteful that enemies who hear it are physically scorched by your fury. When you cast this spell, make an Intimidate check to demoralize each enemy within 30 feet of you. Enemies that are demoralized this way take 1d10 points of fire damage and must succeed at a Reflex save or catch fire. Spell resistance can negate the fire damage caused by this spell, but does not protect the creature from the demoralizing effect.</p><h>Mythic Enhanced</h><p>Enemies that are demoralized by your Intimidate check take 2d8 points of fire damage and catch fire (no saving throw). Any Reflex save attempted to extinguish the flames automatically fails as long as the creature remains demoralized by your Intimidate check.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, the spell doesn't have the language-dependent descriptor and you don't take a penalty on your Intimidate check to demoralize creatures that are larger than you.</p>
