accursed-hex-mythic	Accursed Hex (Mythic)	Your hexes flare with persistent potency.	<p> Accursed Hex.</p>	<p> When you use Accursed Hex to target a creature with one of your hexes a second time, that creature must roll its saving throw twice and take the lower result.</p>	
acrobatic-mythic	Acrobatic (Mythic)	Your grace and fluidity are beyond compare.	<p> Acrobatic.</p>	<p> The bonus on Acrobatics and Fly skill checks from Acrobatic increases by 2. In addition, you can expend one use of mythic power to treat an Acrobatics or Fly check as if you had rolled a natural 20. You must decide to use this ability before making the roll.</p>	
alertness-mythic	Alertness (Mythic)	Your powers of perception surpass everyone's, whether used to observe your surroundings or the intentions of others.	<p> Alertness.</p>	<p> The bonus on Perception and Sense Motive skill checks from Alertness increases by 2. In addition, you can expend one use of mythic power to treat a Perception or Sense Motive check as if you had rolled a natural 20. You must decide to use this ability before making the roll.</p>	
alignment-channel-mythic	Alignment Channel (Mythic)	The power of your faith harms all creatures that follow the alignment you abhor.	<p> Alignment Channel.</p>	<p> Your channeled energy affects any creatures with the alignment chosen when you took Alignment Channel (not just outsiders, and not just those with the alignment subtype), but grants only half healing or deals only half damage to these targets. Alternatively, you can expend two uses of mythic power when using Alignment Channel to affect all targets of the chosen alignment as if they had that alignment subtype.</p>	
animal-affinity-mythic	Animal Affinity (Mythic)	You have a greater affinity with wild animals, and can speak with them.	<p> Animal Affinity.</p>	<p> The bonus on Handle Animal and Ride skill checks from Animal Affinity increases by 2. In addition, you can expend one use of mythic power to <i>speak with animals </i>as the spell. Your caster level for this effect is equal to twice your tier.</p>	
arcane-armor-training-mythic	Arcane Armor Training (Mythic)	You've adapted your spellcasting to overcome limitations of wearing armor.	<p> Arcane Armor Training.</p>	<p> You don't have to spend a swift action to gain the reduction to arcane spell failure chance from Arcane Armor Training. Furthermore, if you're wearing light armor, reduce your arcane spell failure chance by 20%.</p>	
arcane-blast-mythic	Arcane Blast (Mythic)	In addition, you can expend one use of mythic power to change the damage dice of your Arcane Blast to d8s instead of d6s.	<p> Arcane Blast.</p>	<p> When you use Arcane Blast, you may halve the damage dice to also perform your choice of either a trip or bull rush combat maneuver against the target of the blast. You can't move with an opponent you bull rush with this feat. You gain a bonus on your combat maneuver check for this attempt equal to half the spell level of the spell you sacrificed when using Arcane Blast, and you can substitute your Intelligence or Charisma modifier in place of your Strength modifier when determining your combat maneuver bonus.</p>	
arcane-shield-mythic	Arcane Shield (Mythic)	You sculpt spells into a powerful, enduring arcane barriers.	<p> Arcane Shield.</p>	<p> You add half your tier to the deflection bonus granted to your AC when you use your Arcane Shield. You can expend one use of mythic power when using this feat to extend the duration to a number of rounds equal to your tier.</p>	
arcane-strike-mythic	Arcane Strike (Mythic)	Using your amazing arcane talents, you can deliver devastating blows infused with magical energy.	<p> Arcane Strike.</p>	<p> Whenever you use Arcane Strike to enhance your weapons, the effect lasts for 1 minute instead of 1 round. If you expend one use of mythic power when using Arcane Strike, you can also add any one magic weapon special ability with a base price modifier of +1 to your weapons. This base price modifier increases to +2 at 4th tier, +3 at 7th tier, and +4 at 10th tier.</p>	
ascendant-spell-metamagic	Ascendant Spell (Metamagic)	An ascendant spell uses up a spell slot 5 levels higher than the spell's actual level.		<p> You can modify a spell to imitate the mythic version of that spell. An ascendant spell uses the mythic version of the spell, but doesn't count as a mythic spell for the purposes of effects that interact with the spell, unless you are a mythic creature. You can't use the augmented version of the mythic spell, or use spells effects that require you to expend uses of mythic power (even if you have uses of mythic power available).</p>	
aspect-of-the-beast-mythic	Aspect of the Beast (Mythic)	Your blood burns with savage fury, giving you bestial powers and abilities.	<p> Aspect of the Beast.</p>	<p> Your bestial nature manifests itself in one of the following ways. You choose the manifestation when you choose the feat, and you can't change it.</p>	
athletic-mythic	Athletic (Mythic)	You excel far beyond others at acts of physical prowess.	<p> Athletic.</p>	<p> The bonus on Climb and Swim skill checks from Athletic increases by 2. In addition, you can expend one use of mythic power to treat a Climb or Swim check as if you had rolled a natural 20. You must decide to use this ability before making the roll.</p>	
augment-summoning-mythic	Augment Summoning (Mythic)	Your summoning spells bring not mere ordinary beasts, but instead mythic creatures.	<p> Augment Summoning.</p>	<p> Any creature you summon using a summon spell is considered mythic for the purpose of interacting with other mythic creatures. It doesn't gain any mythic abilities or power, but is affected by mythic spells and abilities as if it were a 1st-tier mythic creature. Additionally, if the creature summoned has damage reduction, its damage reduction becomes DR/epic.<span></span></p>	
bleeding-critical-mythic	Bleeding Critical (Mythic)	You can expend one use of mythic power to deal 1 Con bleed, in addition to the hit point bleed damage you deal with this feat. This effect increases by 1 for each additional use of mythic power you expend.	<p> Bleeding Critical, Critical Focus (mythic).</p>	<p> The bleed damage dealt with Bleeding Critical increases by your tier. Stopping this bleed damage requires a Heal check with a DC equal to 15 + 1/2 your tier. Any magical healing ends the bleed damage normally.</p>	
blind-fight-mythic	Blind-Fight (Mythic)	No creature can avoid your preternatural senses.	<p> Blind-Fight.</p>	<p> As a swift action, you can expend one use of mythic power to ignore all miss chances due to concealment or total concealment for a number of rounds equal to your tier.</p>	
catch-off-guard-mythic	Catch Off-Guard (Mythic)	In your hands, anything is a deadly weapon.	<p> Catch Off-Guard.</p>	<p> The damage dealt when you use improvised weapons increases by your tier. You also gain a bonus to CMD equal to your tier when an opponent attempts to sunder or disarm an improvised weapon you're wielding.</p>	
channel-smite-mythic	Channel Smite (Mythic)	Your weapon a conduit of divine energy.	<p> Channel Smite.</p>	<p> When using Channel Smite, you gain a bonus on your attack roll equal to the number of d6s granted by your channel energy class feature. This is either a sacred bonus (if channeling positive energy) or a profane bonus (if channeling negative energy). If your attack misses the target, you can expend one use of mythic power as a free action to release the channeled energy, producing the normal effects of your channel energy class feature centered on the creature you were attempting to smite.</p>	
charge-through-mythic	Charge Through (Mythic)	You can plow through those who stand between you and the target of your charge.	<p> Charge Through.</p>	<p> When charging, you can ignore allies in your path when determining whether or not you can charge your target. Furthermore, after you have attempted at least one overrun with Charge Through, you can expend one use of mythic power as a free action to attempt another overrun against a different opponent in the path of the same charge.</p>	
cleave-mythic	Cleave (Mythic)	You can cleave any foe within your reach.	<p> Cleave.</p>	<p> Whenever you use Cleave or Great Cleave, one of your attacks can be made against a foe that is within your reach, but not adjacent to the foe you attacked. You can expend one use of mythic power when you use Cleave or Great Cleave to continue making attacks against foes within your reach, regardless of their position, as long as you continue to hit each foe. You can't use this ability to attack a foe more than once per round.</p>	
combat-expertise-mythic	Combat Expertise (Mythic)	You can dart out of the way of attacks with skill and defiance.	<p> Combat Expertise.</p>	<p> Whenever you use Combat Expertise, you gain an additional +2 dodge bonus to your Armor Class. You can expend one use of mythic power to negate the penalties on melee attack rolls and combat maneuver checks caused by using Combat Expertise for 1 minute.</p>	
combat-reflexes-mythic	Combat Reflexes (Mythic)	You strike viciously whenever your foe gives you an opening.	<p> Combat Reflexes.</p>	<p> You can make any number of additional attacks of opportunity per round. As a swift action, you can expend one use of mythic power to, until the start of your next turn, make attacks of opportunity against foes you've already made attacks of opportunity against this round if they provoke attacks of opportunity from you by moving.</p>	
command-undead-mythic	Command Undead (Mythic)	Your control of the undead is nearly absolute.	<p> Command Undead.</p>	<p> When you command undead, the DC of the Will save increases by half your tier, and intelligent undead get no additional saves beyond their first to resist your commands. Any attempts by non-mythic creatures to control undead you command automatically fail, and you gain a +4 bonus on Charisma checks to prevent mythic creatures from stealing control of your undead.</p>	
critical-focus-mythic	Critical Focus (Mythic)	Your blows unerringly find your target's vital spots.	<p> Critical Focus.</p>	<p> You automatically confirm critical threats against non-mythic opponents. In addition, when you threaten a critical hit against a creature wearing armor with the <i>fortification</i> special ability or similar effect, that creature must roll twice and take the worse result when determining critical hit negation.</p>	
critical-mastery-mythic	Critical Mastery (Mythic)	Your critical hits are versatile and devastating.	<p> Critical Focus (mythic), Critical Mastery.</p>	<p> When using Critical Mastery, increase the number of critical feats you may apply by every 3 tiers that you possess.</p>	
dastardly-finish-mythic	Dastardly Finish (Mythic)	You strike downed, dazed, and staggered opponents with deadly efficiency.	<p> Dastardly Finish.</p>	<p> You can deliver a coup de grace to dazed and staggered non-mythic opponents. In addition, when any creature makes a Fortitude saving throw to survive one of your coup de grace attempts, it takes a penalty to that saving throw equal to your tier.</p>	
dazzling-display-mythic	Dazzling Display (Mythic)	You can quickly deter others with your martial mastery.	<p> Dazzling Display.</p>	<p> While wielding the weapon with which you have Weapon Focus, you can use Dazzling Display as a standard action with a -5 penalty on your Intimidate check, as a move action with a -10 penalty, or as a swift action with a -20 penalty. You can expend one use of mythic power when you make a Dazzling Display to make those affected by the display frightened rather than shaken.</p>	
deadly-aim-mythic	Deadly Aim (Mythic)	Your aim is truly devastating.	<p> Deadly Aim.</p>	<p> When you use Deadly Aim, you gain a +3 bonus on ranged damage rolls instead of +2. When your base attack bonus reaches +4, and every +4 thereafter, the bonus on ranged damage rolls increases by +3 rather than +2.</p>	
deadly-stroke-mythic	Deadly Stroke (Mythic)	You can kill with a single stroke.	<p> Deadly Stroke.</p>	<p> When making a Deadly Stroke attack, you can expend one use of mythic power to instantly kill a non-mythic living creature. A Fortitude save (DC 10 + your base attack bonus + your tier) negates this effect, though the attack still deals double damage and Con bleed as Deadly Stroke. Constructs, oozes, and creatures immune to critical hits or precision-based damage can't be killed with this feat.</p>	
death-from-above-mythic	Death from Above (Mythic)	When attacking from the air or higher ground, you bear down on your enemy to deadly effect.	<p> Death from Above.</p>	<p> Whenever you charge an opponent from higher ground, or from above while flying, the critical multiplier of your weapon increases by 2 (to a maximum of x6). This doesn't stack with other abilities that increase a weapon's critical multiplier. If your charge attack hits, you can perform a trip combat maneuver against the attack's target as a free action without provoking attacks of opportunity.</p>	
deceitful-mythic	Deceitful (Mythic)	Your power to mislead is beyond compare.	<p> Deceitful.</p>	<p> The bonus on Bluff and Disguise skill checks from Deceitful increases by 2. In addition, you can expend one use of mythic power to treat a Bluff or Disguise check as if you had rolled a natural 20. You must decide to use this ability before making the roll.</p>	
deepsight-mythic	Deepsight (Mythic)	Your sharp eyes can penetrate deeper into the darkness, revealing more to you.	<p> Deepsight.</p>	<p> The range of your darkvision increases by 10 feet per tier.</p>	
defensive-combat-training-mythic	Defensive Combat Training (Mythic)	Your defensive capabilities in combat are unmatched.	<p> Defensive Combat Training, 4th mythic tier.</p>	<p> Add half your tier to your CMD.</p>	
