Commune-with-Power-Su	Commune with Power (Su)	<p>You can tap into your mythic nature to seek answers to the quandaries you encounter in your adventures. Once per day, in a special ritual that requires you to spend 1 hour of uninterrupted meditation, you can commune with the source of your power. This acts as the <i>commune</i> spell, using your tier as your caster level. The source of your power may be limited in the knowledge it possesses or can deliver, as decided upon by the GM.</p>
Display-of-Charisma-Su	Display of Charisma (Su)	<p>As a free action, you can expend one use of mythic power to attempt a feat of Charisma, gaining a +20 circumstance bonus on one Charisma-based skill check or Charisma ability check.</p>
Display-of-Constitution-Su	Display of Constitution (Su)	<p>As a free action, you can expend one use of mythic power to attempt a feat of Constitution, gaining a +20 circumstance bonus on one Constitution ability check. Alternatively, you can use this ability to apply a +20 circumstance bonus to your Constitution score for a number of hours equal to your mythic tier for the purpose of making Constitution checks against heat, cold, fatigue, and exhaustion.</p>
Display-of-Dexterity-Su	Display of Dexterity (Su)	<p>As a free action, you can expend one use of mythic power to attempt a feat of Dexterity, gaining a +20 circumstance bonus on one Dexterity-based skill check or Dexterity ability check.</p>
Display-of-Intelligence-Su	Display of Intelligence (Su)	<p>As a free action, you can expend one use of mythic power to attempt a feat of Intelligence, gaining a +20 circumstance bonus on one Intelligence-based skill check or Intelligence ability check.</p>
Display-of-Strength-Su	Display of Strength (Su)	<p>As a free action, you can expend one use of mythic power to attempt a feat of Strength, gaining a +20 circumstance bonus on one Strength-based skill check or Strength ability check. Alternatively, you can use this ability to apply a +20 circumstance bonus to your Strength score for a number of hours equal to your mythic tier for the purpose of determining your carrying capacity.</p>
Display-of-Wisdom-Su	Display of Wisdom (Su)	<p>As a free action, you can expend one use of mythic power to attempt a feat of Wisdom, gaining a +20 circumstance bonus on one Wisdom-based skill check or Wisdom ability check.</p>
Extra-Mythic-Feat-Ex	Extra Mythic Feat (Ex)	<p>You gain an extra mythic feat. You can take this ability a number of times equal to half your mythic tier (minimum 1). Each time you do, you gain another mythic feat.</p>
Extra-Mythic-Power-Su	Extra Mythic Power (Su)	<p>You can call upon your mythic power two additional times per day. You can select this ability up to three times.</p>
Legendary-Item-Ex	Legendary Item (Ex)	<p>You gain a legendary item. This item grants a number of abilities equal to your tier (maximum 3). At 3rd tier, you can select this ability again, increasing the maximum to six abilities and causing the item to become a lesser artifact. At 6th tier, you can select this ability again, increasing the maximum to 10 abilities; the item then becomes a greater artifact.</p>
Longevity-Su	Longevity (Su)	<p>Upon taking this ability, you can no longer die from old age. If you have penalties to your physical ability scores due to aging, you no longer take those penalties. You still continue to age, and you gain all the benefits to your mental ability scores.</p>
Mythic-Craft-Ex	Mythic Craft (Ex)	<p>When you use the Craft skill to create an item, you double the progress each check provides. In addition, you can make an item masterwork simply by paying for the cost, and don't need to increase the time to create the item or attempt additional checks. Add your tier to any skill checks associated with making magic items.</p>
