Aerial-Assault-Su	Aerial Assault (Su)	<p>You can charge at creatures in the air, or leap across obstacles as part of a charge. When making a charge attack, you can expend one use of mythic power to include a single Acrobatics check made to jump, adding 10 feet per tier to the height or distance you jump. You take no falling damage from the height gained as part of this leap. If your attack hits, you may deal an amount of additional damage equal to the falling damage appropriate for the height you reached. Alternatively, you may replace your melee attack from this charge with a grapple check. If you successfully grapple a creature, you bring it to the ground with you at the end of your jump, and it takes an appropriate amount of falling damage for the height it was at when you grappled it.</p>
Always-a-Chance-Ex	Always a Chance (Ex)	<p>You don't automatically miss when you roll a 1 on an attack roll.</p>
Always-Armed-Ex	Always Armed (Ex)	<p>You don't take any penalties from using an improvised weapon. In addition, whenever you confirm a critical hit with an improvised weapon, you can treat its critical multiplier as x3 instead of x2, but the weapon is destroyed.</p>
Armor-Master-Ex	Armor Master (Ex)	<p>You don't take an armor check penalty or incur a arcane spell failure chance when wearing light armor or using a shield (including a tower shield). In addition, the maximum Dexterity bonus of light armor doesn't apply to you. You can select this ability up to three times. The second time, it also applies to medium armor. The third time, it also applies to heavy armor.</p>
Backlash-Ex	Backlash (Ex)	<p>You strike back at those who penetrate your defenses. Whenever an adjacent enemy confirms a critical hit against you, that enemy also provokes an attack of opportunity from you. If you have used all of your attacks of opportunity for the round, you may expend one use of mythic power to make this attack of opportunity anyway.</p>
Blowback-Ex	Blowback (Ex)	<p>As a standard action, you can expend one use of mythic power to make one melee or ranged attack at your full base attack bonus. If the attack hits, your foe is also knocked directly away from you a distance equal to 10 feet per tier. If the foe strikes a solid object before reaching this distance, it takes 1d6 points of bludgeoning damage for every 10 feet it couldn't travel. If it strikes another creature, both it and the creature it strikes take half this damage.</p>
Burst-Through-Ex	Burst Through (Ex)	<p>When you charge, you can move through allies and opponents almost as if they were not there to obstruct your path. You can move through squares containing allies freely, but you must succeed at an overrun combat maneuver check for each opponent that obstructs your path to the target of your charge. If the result of the check exceeds the opponent's CMD, you may move through the opponent's square and continue toward the target without provoking an attack of opportunity from that opponent. If you fail any of these combat maneuver checks, your movement ends in the square before that opponent, but you may resolve the charge attack against the foe that stopped you.</p>
Clean-Blade-Ex	Clean Blade (Ex)	<p>Whenever you score a critical hit, as a free action you can make a ranged touch attack to fling the blood and gore at another opponent within 30 feet. If the touch attack hits, the foe is sickened for a number of rounds equal to your tier. If the touch attack is a critical hit, the foe is also blinded for the same duration. A blinded foe can spend a full-round action to remove the gore and end the blindness. At the GM's discretion, creatures that are immune to disease, those that live in filth (such as otyughs), or those that revel in bloodshed (such as demons) might be immune to the sickened effect of this ability.</p>
Climbing-Master-Ex	Climbing Master (Ex)	<p>You gain a climb speed equal to your base land speed and a +8 racial bonus on Climb checks. If you already have a climb speed, your base climb speed increases by 30 feet. In addition, you retain your Dexterity bonus to AC while climbing. You can climb perfectly flat or smooth surfaces, treating them as if they had a Climb DC of 40.</p>
Crusader-Ex	Crusader (Ex)	<p>Your prowess and ability draw countless followers to your banner. You gain followers as if you had the Leadership feat. In addition, you add your tier to your leadership score when determining the number of followers you gain. Whenever you are within 100 feet of such followers, each follower can use the surge ability once per day without needing to expend mythic power. The followers use the same die type as your surge ability. If you have or gain the Leadership feat, you gain followers from both this ability and the Leadership feat (in effect doubling the number of followers gained).</p>
