Ablative Barrier	<h>Mythic Enhanced</h><p>Add half your tier to the spell's armor bonus. Add half your tier to the amount of lethal damage from each attack that is converted to nonlethal damage and to the DR against nonlethal damage. Add half your tier to your caster level when determining how much damage the spell converts before it's discharged.</p>
Animal Aspect	<h>Mythic Enhanced</h><p>You gain low-light vision, a +2 size bonus to the physical ability score of your choice, and a +1 enhancement bonus to your natural armor. Alternatively, you may cast the non-mythic form of this spell on a touched willing creature.</p>
Animate Dead	<h>Mythic Enhanced</h><p>Add your tier to your caster level when determining how many Hit Dice of undead you can animate with a single casting of this spell. This doesn't increase the total number of Hit Dice worth of undead you can control. By expending a second use of mythic power, you can ignore the spell's material component cost.</p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, any skeletons or zombies you create gain either the agile or savage mythic template. This template lasts for a number of days equal to your tier.</p><p>Alternatively, if you're 8th tier and expend 10 uses of mythic power, any skeletons you create permanently gain the mythic skeleton template.</p>
Animate Objects	<h>Mythic Enhanced</h><p>Animated objects you create with this spell get the maximum number of hit points per level, gain a +4 bonus to their Strength ability scores, and have 1-1/2 times the normal number of construction points.</p>
Animate Plants	<h>Mythic Enhanced</h><p>As <i>animate objects</i>.</p>
Anticipate Peril	<h>Mythic Enhanced</h><p>Add your tier to the spell's initiative bonus and the maximum initiative bonus the spell can grant.</p>
Antimagic Field	<h>Mythic Enhanced</h><p>Select a number of spell schools equal to half your tier. Spells and effects of the chosen schools are unaffected by the <i>antimagic field</i>.</p>
Arboreal Hammer	<h>Mythic Enhanced</h><p>You animate two branches instead of one, allowing the tree to attack twice per round. Add your tier to your caster level when determining the tree's Strength score. A creature struck by both slam attacks in the same round must succeed at a Fortitude save against the spell's DC or be staggered for 1 round.</p><p><h>Mythic Augmented (7th)</h>: If you expend two uses of mythic power, the tree attempts three slam attacks per round and its slams bypass all damage reduction. A creature struck by all three slam attacks in the same round is stunned for 1 round and staggered for 1d4 rounds after the stun ends. A successful Fortitude save negates the stun and reduces the duration of being staggered by half.</p>
Arcane Cannon	<h>Mythic Enhanced</h><p>The cannon deals 6d10 points of damage on a successful hit. Add your tier to the cannon's hardness and your tier x 5 to its hit points. Its <i>conductive</i> property can channel any spell with a range of touch (you have to expend only one spell for this, not two). You may cast a spell with an energy descriptor on the cannon. If you do, for a number of rounds equal to the spell's level, half the cannon's damage is untyped damage and the other half is energy damage of the spell's type. Casting a spell with a different energy descriptor onto the cannon replaces its current energy type with that of the new spell.</p>
Baleful Polymorph	<h>Mythic Enhanced</h><p>The saving throw changes to Fortitude (partial) and Will (partial). A creature that fails the Fortitude save automatically fails the Will save. A target with the shapechanger subtype that fails its save can't use its shapechanging to shift out of its new form. A creature that succeeds at the Fortitude save is partially transformed into the intended animal. For 1 minute per level, it takes on cosmetic features appropriate to that animal and becomes one size category closer to the animal's size.</p><p><h>Mythic Augmented (9th)</h>: If you expend four uses of mythic power, the spell affects all other creatures with 8 Hit Dice or fewer in a 1-mile radius. Affected creatures transform into Small or smaller animals appropriate to the local environment. You can select a number of creatures up to your tier to not be affected.</p>
Bane	<h>Mythic Enhanced</h><p>The -1 penalty applies on attack rolls, weapon damage rolls, and all saving throws. Each affected creature must roll its next attack roll or saving throw twice and take the lower result.</p>
Barkskin	<h>Mythic Enhanced</h><p>The target also gains DR/magic equal to the double the enhancement bonus the spell provides to the target's natural armor bonus.</p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, the spell grants DR/epic rather than DR/magic.</p>
Battlemind Link	<h>Mythic Enhanced</h><p>When you cast this spell, if your linked ally uses a mythic path ability against a creature, you can use the same path ability against that creature as if you had it yourself, and your linked ally can likewise use any path abilities you use against a creature (even if that ally isn't mythic). For example, if you're a champion attacking a frost giant using the precision path ability, your linked ally can use your precision ability when she attacks that frost giant. If a path ability requires expending uses of mythic power or any other cost, your linked ally must expend that cost for you to use the ability.</p>
Battle Trance	<h>Mythic Enhanced</h><p>The number of temporary hit points you gain increases to 2d6 + your caster level (maximum +10) + your tier. The morale bonus on saving throws against mind-affecting effects increases to +6.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, you gain a +4 morale bonus to Strength, immunity to non-mythic mind-affecting effects, and DR 5/epic.</p>
